mktcap_q,stocks,flash_stocks,flash_days,median_maxspike,mktcap_median,pct_flash
Q1(소형),199,32,36,0.0561497326203208,120529801000.0,0.16080402010050251
Q2,198,53,73,0.07077786249095845,269077323047.4755,0.2676767676767677
Q3,199,54,69,0.0713476783691959,484532137018.803,0.271356783919598
Q4,198,65,85,0.07700023218017174,1247653756709.88,0.3282828282828283
Q5(대형),199,60,69,0.0692771084337349,6846019317160.0,0.3015075376884422
