session,bars,median,mean,p90,p99
pre,160811,0.002564102564102555,0.004125274285499377,0.009132420091324311,0.024101946246524494
regular,1966340,0.0028368794326241176,0.00450002849594436,0.010135135135135087,0.026546542117337903
after,1277381,0.001477104874446189,0.0021906993067103008,0.004975124378109541,0.013785984966627106
